"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"672","June 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2025/26","Est.","Annual","1123.00","1000 Metric Tons, Actual Weight","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2025/26","Est.","Annual","4297.00","1000 Metric Tons, Actual Weight","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2025/26","Est.","Annual","1176.00","1000 Metric Tons, Actual Weight","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2025/26","Est.","Annual","938.00","1000 Metric Tons, Actual Weight","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2025/26","Est.","Annual","52.00","1000 Metric Tons, Actual Weight","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2025/26","Est.","Annual","5236.00","1000 Metric Tons, Actual Weight","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2026/27","Proj.","Annual","1176.00","1000 Metric Tons, Actual Weight","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2026/27","Proj.","Annual","4226.00","1000 Metric Tons, Actual Weight","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2026/27","Proj.","Annual","1063.00","1000 Metric Tons, Actual Weight","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2026/27","Proj.","Annual","1198.00","1000 Metric Tons, Actual Weight","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2026/27","Proj.","Annual","28.00","1000 Metric Tons, Actual Weight","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2026/27","Proj.","Annual","5283.00","1000 Metric Tons, Actual Weight","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Reliability of June Projections","Domestic Use","above_final","Coarse Grain","Foreign","","","Annual","22.00","Years","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Reliability of June Projections","Domestic Use","average","Coarse Grain","Foreign","","","Annual","12.40","Million Metric Tons","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Reliability of June Projections","Domestic Use","below_final","Coarse Grain","Foreign","","","Annual","22.00","Years","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Reliability of June Projections","Domestic Use","confidence_interval","Coarse Grain","Foreign","","","Annual","3.30","Percent","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Reliability of June Projections","Domestic Use","largest","Coarse Grain","Foreign","","","Annual","38.20","Million Metric Tons","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Reliability of June Projections","Domestic Use","root_mean_square_error","Coarse Grain","Foreign","","","Annual","2.00","Percent","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Reliability of June Projections","Domestic Use","smallest","Coarse Grain","Foreign","","","Annual",".10","Million Metric Tons","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Reliability of June Projections","Ending Stocks","above_final","Coarse Grain","Foreign","","","Annual","12.00","Years","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Reliability of June Projections","Ending Stocks","average","Coarse Grain","Foreign","","","Annual","15.30","Million Metric Tons","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Reliability of June Projections","Ending Stocks","below_final","Coarse Grain","Foreign","","","Annual","32.00","Years","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Reliability of June Projections","Ending Stocks","confidence_interval","Coarse Grain","Foreign","","","Annual","27.70","Percent","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Reliability of June Projections","Ending Stocks","largest","Coarse Grain","Foreign","","","Annual","155.20","Million Metric Tons","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Reliability of June Projections","Ending Stocks","root_mean_square_error","Coarse Grain","Foreign","","","Annual","16.50","Percent","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Reliability of June Projections","Ending Stocks","smallest","Coarse Grain","Foreign","","","Annual",".10","Million Metric Tons","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Reliability of June Projections","Exports","above_final","Coarse Grain","Foreign","","","Annual","16.00","Years","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Reliability of June Projections","Exports","average","Coarse Grain","Foreign","","","Annual","6.90","Million Metric Tons","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Reliability of June Projections","Exports","below_final","Coarse Grain","Foreign","","","Annual","28.00","Years","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Reliability of June Projections","Exports","confidence_interval","Coarse Grain","Foreign","","","Annual","21.70","Percent","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Reliability of June Projections","Exports","largest","Coarse Grain","Foreign","","","Annual","19.20","Million Metric Tons","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Reliability of June Projections","Exports","root_mean_square_error","Coarse Grain","Foreign","","","Annual","12.90","Percent","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Reliability of June Projections","Exports","smallest","Coarse Grain","Foreign","","","Annual",".50","Million Metric Tons","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Reliability of June Projections","Production","above_final","Coarse Grain","Foreign","","","Annual","22.00","Years","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Reliability of June Projections","Production","average","Coarse Grain","Foreign","","","Annual","14.60","Million Metric Tons","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Reliability of June Projections","Production","below_final","Coarse Grain","Foreign","","","Annual","22.00","Years","2026-06-11","12:00:00.0000000","2026","6"
"672","June 2026","Reliability of June Projections","Production","confidence_interval","Coarse Grain","Foreign","","","Annual","4.40","Percent","2026-06-11","12:00:00.0000000","2026","6"
